hapgroup,hapdup,location,bio,sex,temp,vial,block,age
A1,1,Bris,1,M,28,1,1,18
A1,1,Bris,1,M,28,1,1,32
A1,1,Bris,1,M,28,1,1,32
A1,1,Bris,1,M,28,1,1,34
A1,1,Bris,1,M,28,1,1,36
A1,1,Bris,1,M,28,1,1,36
A1,1,Bris,1,M,28,1,1,36
A1,1,Bris,1,M,28,1,1,39
A1,1,Bris,1,M,28,1,1,39
A1,1,Bris,1,M,28,1,1,39
A1,1,Bris,1,M,28,1,1,41
A1,1,Bris,1,M,28,1,1,43
A1,1,Bris,1,M,28,1,1,43
A1,1,Bris,1,M,28,1,1,43
A1,1,Bris,1,M,28,1,1,46
A1,1,Bris,1,M,28,1,1,46
A1,1,Bris,1,M,28,1,1,46
A1,1,Bris,1,M,28,1,1,46
A1,1,Bris,1,M,28,1,1,46
A1,1,Bris,1,M,28,2,1,15
A1,1,Bris,1,M,28,2,1,25
A1,1,Bris,1,M,28,2,1,27
A1,1,Bris,1,M,28,2,1,32
A1,1,Bris,1,M,28,2,1,34
A1,1,Bris,1,M,28,2,1,39
A1,1,Bris,1,M,28,2,1,39
A1,1,Bris,1,M,28,2,1,39
A1,1,Bris,1,M,28,2,1,39
A1,1,Bris,1,M,28,2,1,41
A1,1,Bris,1,M,28,2,1,41
A1,1,Bris,1,M,28,2,1,41
A1,1,Bris,1,M,28,2,1,43
A1,1,Bris,1,M,28,2,1,43
A1,1,Bris,1,M,28,2,1,43
A1,1,Bris,1,M,28,2,1,46
A1,1,Bris,1,M,28,2,1,46
A1,1,Bris,1,M,28,2,1,46
A1,1,Bris,1,M,28,2,1,46
A1,1,Bris,1,M,28,2,1,46
A1,1,Bris,1,F,28,3,1,3
A1,1,Bris,1,F,28,3,1,3
A1,1,Bris,1,F,28,3,1,5
A1,1,Bris,1,F,28,3,1,9
A1,1,Bris,1,F,28,3,1,22
A1,1,Bris,1,F,28,3,1,34
A1,1,Bris,1,F,28,3,1,34
A1,1,Bris,1,F,28,3,1,39
A1,1,Bris,1,F,28,3,1,39
A1,1,Bris,1,F,28,3,1,39
A1,1,Bris,1,F,28,3,1,39
A1,1,Bris,1,F,28,3,1,48
A1,1,Bris,1,F,28,3,1,48
A1,1,Bris,1,F,28,3,1,50
A1,1,Bris,1,F,28,3,1,50
A1,1,Bris,1,F,28,3,1,50
A1,1,Bris,1,F,28,3,1,50
A1,1,Bris,1,F,28,3,1,53
A1,1,Bris,1,F,28,3,1,53
A1,1,Bris,1,F,28,3,1,53
A1,1,Bris,1,F,28,4,1,3
A1,1,Bris,1,F,28,4,1,3
A1,1,Bris,1,F,28,4,1,9
A1,1,Bris,1,F,28,4,1,32
A1,1,Bris,1,F,28,4,1,34
A1,1,Bris,1,F,28,4,1,34
A1,1,Bris,1,F,28,4,1,34
A1,1,Bris,1,F,28,4,1,36
A1,1,Bris,1,F,28,4,1,39
A1,1,Bris,1,F,28,4,1,41
A1,1,Bris,1,F,28,4,1,46
A1,1,Bris,1,F,28,4,1,46
A1,1,Bris,1,F,28,4,1,46
A1,1,Bris,1,F,28,4,1,46
A1,1,Bris,1,F,28,4,1,46
A1,1,Bris,1,F,28,4,1,46
A1,1,Bris,1,F,28,4,1,46
A1,1,Bris,1,F,28,4,1,48
A1,1,Bris,1,F,28,4,1,48
A1,1,Bris,1,F,28,4,1,50
A1,1,Bris,2,M,28,5,1,9
A1,1,Bris,2,M,28,5,1,25
A1,1,Bris,2,M,28,5,1,32
A1,1,Bris,2,M,28,5,1,32
A1,1,Bris,2,M,28,5,1,39
A1,1,Bris,2,M,28,5,1,39
A1,1,Bris,2,M,28,5,1,39
A1,1,Bris,2,M,28,5,1,39
A1,1,Bris,2,M,28,5,1,39
A1,1,Bris,2,M,28,5,1,39
A1,1,Bris,2,M,28,5,1,39
A1,1,Bris,2,M,28,5,1,39
A1,1,Bris,2,M,28,5,1,39
A1,1,Bris,2,M,28,5,1,41
A1,1,Bris,2,M,28,5,1,43
A1,1,Bris,2,M,28,5,1,46
A1,1,Bris,2,M,28,6,1,27
A1,1,Bris,2,M,28,6,1,32
A1,1,Bris,2,M,28,6,1,32
A1,1,Bris,2,M,28,6,1,39
A1,1,Bris,2,M,28,6,1,39
A1,1,Bris,2,M,28,6,1,39
A1,1,Bris,2,M,28,6,1,39
A1,1,Bris,2,M,28,6,1,39
A1,1,Bris,2,M,28,6,1,39
A1,1,Bris,2,M,28,6,1,46
A1,1,Bris,2,M,28,6,1,46
A1,1,Bris,2,M,28,6,1,46
A1,1,Bris,2,M,28,6,1,46
A1,1,Bris,2,F,28,7,1,3
A1,1,Bris,2,F,28,7,1,3
A1,1,Bris,2,F,28,7,1,7
A1,1,Bris,2,F,28,7,1,27
A1,1,Bris,2,F,28,7,1,32
A1,1,Bris,2,F,28,7,1,34
A1,1,Bris,2,F,28,7,1,36
A1,1,Bris,2,F,28,7,1,36
A1,1,Bris,2,F,28,7,1,36
A1,1,Bris,2,F,28,7,1,39
A1,1,Bris,2,F,28,7,1,39
A1,1,Bris,2,F,28,7,1,41
A1,1,Bris,2,F,28,7,1,43
A1,1,Bris,2,F,28,7,1,43
A1,1,Bris,2,F,28,7,1,46
A1,1,Bris,2,F,28,7,1,46
A1,1,Bris,2,F,28,7,1,46
A1,1,Bris,2,F,28,8,1,5
A1,1,Bris,2,F,28,8,1,11
A1,1,Bris,2,F,28,8,1,22
A1,1,Bris,2,F,28,8,1,22
A1,1,Bris,2,F,28,8,1,25
A1,1,Bris,2,F,28,8,1,25
A1,1,Bris,2,F,28,8,1,32
A1,1,Bris,2,F,28,8,1,43
A1,1,Bris,2,F,28,8,1,46
A1,1,Bris,2,F,28,8,1,46
A1,1,Bris,2,F,28,8,1,46
A1,1,Bris,2,F,28,8,1,46
A1,1,Bris,2,F,28,8,1,46
A1,1,Bris,2,F,28,8,1,50
A1,1,Bris,2,F,28,8,1,50
A1,1,Bris,2,F,28,8,1,50
A1,1,Bris,2,F,28,8,1,50
A1,1,Bris,2,F,28,8,1,50
A1,1,Bris,2,F,28,8,1,53
A1,2,Bris,3,M,28,9,1,3
A1,2,Bris,3,M,28,9,1,29
A1,2,Bris,3,M,28,9,1,32
A1,2,Bris,3,M,28,9,1,32
A1,2,Bris,3,M,28,9,1,32
A1,2,Bris,3,M,28,9,1,32
A1,2,Bris,3,M,28,9,1,32
A1,2,Bris,3,M,28,9,1,32
A1,2,Bris,3,M,28,9,1,32
A1,2,Bris,3,M,28,9,1,36
A1,2,Bris,3,M,28,9,1,39
A1,2,Bris,3,M,28,9,1,39
A1,2,Bris,3,M,28,9,1,39
A1,2,Bris,3,M,28,9,1,39
A1,2,Bris,3,M,28,9,1,39
A1,2,Bris,3,M,28,9,1,39
A1,2,Bris,3,M,28,9,1,41
A1,2,Bris,3,M,28,9,1,43
A1,2,Bris,3,M,28,9,1,43
A1,2,Bris,3,M,28,9,1,46
A1,2,Bris,3,M,28,9,1,46
A1,2,Bris,3,M,28,10,1,20
A1,2,Bris,3,M,28,10,1,25
A1,2,Bris,3,M,28,10,1,25
A1,2,Bris,3,M,28,10,1,27
A1,2,Bris,3,M,28,10,1,29
A1,2,Bris,3,M,28,10,1,32
A1,2,Bris,3,M,28,10,1,32
A1,2,Bris,3,M,28,10,1,39
A1,2,Bris,3,M,28,10,1,39
A1,2,Bris,3,M,28,10,1,39
A1,2,Bris,3,M,28,10,1,39
A1,2,Bris,3,M,28,10,1,39
A1,2,Bris,3,M,28,10,1,39
A1,2,Bris,3,M,28,10,1,39
A1,2,Bris,3,M,28,10,1,41
A1,2,Bris,3,M,28,10,1,43
A1,2,Bris,3,M,28,10,1,46
A1,2,Bris,3,M,28,10,1,46
A1,2,Bris,3,F,28,11,1,3
A1,2,Bris,3,F,28,11,1,7
A1,2,Bris,3,F,28,11,1,15
A1,2,Bris,3,F,28,11,1,25
A1,2,Bris,3,F,28,11,1,32
A1,2,Bris,3,F,28,11,1,32
A1,2,Bris,3,F,28,11,1,36
A1,2,Bris,3,F,28,11,1,39
A1,2,Bris,3,F,28,11,1,39
A1,2,Bris,3,F,28,11,1,39
A1,2,Bris,3,F,28,11,1,39
A1,2,Bris,3,F,28,11,1,39
A1,2,Bris,3,F,28,11,1,43
A1,2,Bris,3,F,28,11,1,46
A1,2,Bris,3,F,28,11,1,46
A1,2,Bris,3,F,28,11,1,46
A1,2,Bris,3,F,28,11,1,48
A1,2,Bris,3,F,28,12,1,3
A1,2,Bris,3,F,28,12,1,3
A1,2,Bris,3,F,28,12,1,3
A1,2,Bris,3,F,28,12,1,25
A1,2,Bris,3,F,28,12,1,27
A1,2,Bris,3,F,28,12,1,34
A1,2,Bris,3,F,28,12,1,39
A1,2,Bris,3,F,28,12,1,39
A1,2,Bris,3,F,28,12,1,39
A1,2,Bris,3,F,28,12,1,39
A1,2,Bris,3,F,28,12,1,39
A1,2,Bris,3,F,28,12,1,39
A1,2,Bris,3,F,28,12,1,39
A1,2,Bris,3,F,28,12,1,43
A1,2,Bris,3,F,28,12,1,43
A1,2,Bris,3,F,28,12,1,43
A1,2,Bris,3,F,28,12,1,46
A1,2,Bris,3,F,28,12,1,46
A1,2,Bris,3,F,28,12,1,46
A1,2,Bris,3,F,28,12,1,53
A1,2,Bris,4,M,28,13,1,25
A1,2,Bris,4,M,28,13,1,25
A1,2,Bris,4,M,28,13,1,25
A1,2,Bris,4,M,28,13,1,25
A1,2,Bris,4,M,28,13,1,29
A1,2,Bris,4,M,28,13,1,32
A1,2,Bris,4,M,28,13,1,32
A1,2,Bris,4,M,28,13,1,32
A1,2,Bris,4,M,28,13,1,34
A1,2,Bris,4,M,28,13,1,36
A1,2,Bris,4,M,28,13,1,39
A1,2,Bris,4,M,28,13,1,39
A1,2,Bris,4,M,28,13,1,39
A1,2,Bris,4,M,28,13,1,39
A1,2,Bris,4,M,28,13,1,39
A1,2,Bris,4,M,28,13,1,39
